Date,Round,Region,Winning_Seed,Winner,Winning_Score,Losing_Seed,Loser,Losing_Score,Overtime,Point_Diff
3/14/85,Round of 64,East,1,Georgetown,68,16,Lehigh,43,,25
3/14/85,Round of 64,Midwest,1,Oklahoma,96,16,North Carolina A&T,83,,13
3/14/85,Round of 64,West,1,"St. John's, New York",83,16,Southern,59,,24
3/15/85,Round of 64,Southeast,1,Michigan,59,16,Fairleigh Dickinson,55,,4
3/13/86,Round of 64,East,1,Duke,85,16,Mississippi Valley,78,,7
3/13/86,Round of 64,Midwest,1,Kansas,71,16,North Carolina A&T,46,,25
3/14/86,Round of 64,Southeast,1,Kentucky,75,16,Davidson,55,,20
3/14/86,Round of 64,West,1,"St. John's, New York",83,16,Montana State,74,,9
3/12/87,Round of 64,East,1,North Carolina,113,16,Pennsylvania,82,,31
3/12/87,Round of 64,Midwest,1,Indiana,92,16,Fairfield,58,,34
3/12/87,Round of 64,West,1,Nevada-Las Vegas,95,16,Idaho State,70,,25
3/13/87,Round of 64,Southeast,1,Georgetown,75,16,Bucknell,53,,22
3/17/88,Round of 64,Midwest,1,Purdue,94,16,Fairleigh Dickinson,79,,15
3/17/88,Round of 64,Southeast,1,Oklahoma,94,16,Chattanooga,66,,28
3/18/88,Round of 64,East,1,Temple,87,16,Lehigh,73,,14
3/18/88,Round of 64,West,1,Arizona,90,16,Cornell,50,,40
3/16/89,Round of 64,Midwest,1,Illinois,77,16,McNeese State,71,,6
3/16/89,Round of 64,Southeast,1,Oklahoma,72,16,East Tennessee State,71,,1
3/16/89,Round of 64,West,1,Arizona,94,16,Robert Morris,60,,34
3/17/89,Round of 64,East,1,Georgetown,50,16,Princeton,49,,1
3/15/90,Round of 64,East,1,Connecticut,76,16,Boston,52,,24
3/15/90,Round of 64,Midwest,1,Oklahoma,77,16,Towson,68,,9
3/15/90,Round of 64,Southeast,1,Michigan State,75,16,Murray State,71,1 OT,4
3/15/90,Round of 64,West,1,Nevada-Las Vegas,102,16,Arkansas-Little Rock,72,,30
3/15/91,Round of 64,East,1,North Carolina,101,16,Northeastern,66,,35
3/15/91,Round of 64,Midwest,1,Ohio State,97,16,Towson,86,,11
3/15/91,Round of 64,Southeast,1,Arkansas,117,16,Georgia State,76,,41
3/15/91,Round of 64,West,1,Nevada-Las Vegas,99,16,Montana,65,,34
3/19/92,Round of 64,East,1,Duke,82,16,Campbell,56,,26
3/19/92,Round of 64,Southeast,1,Ohio State,83,16,Mississippi Valley,56,,27
3/20/92,Round of 64,Midwest,1,Kansas,100,16,Howard,67,,33
3/20/92,Round of 64,West,1,UCLA,73,16,Robert Morris,53,,20
3/18/93,Round of 64,East,1,North Carolina,85,16,East Carolina,65,,20
3/19/93,Round of 64,Midwest,1,Indiana,97,16,Wright State,54,,43
3/19/93,Round of 64,Southeast,1,Kentucky,96,16,Rider,52,,44
3/19/93,Round of 64,West,1,Michigan,84,16,Coastal Carolina,53,,31
3/17/94,Round of 64,Southeast,1,Purdue,98,16,Central Florida,67,,31
3/17/94,Round of 64,West,1,Missouri,76,16,Navy,53,,23
3/18/94,Round of 64,East,1,North Carolina,71,16,Liberty,51,,20
3/18/94,Round of 64,Midwest,1,Arkansas,94,16,North Carolina A&T,79,,15
3/16/95,Round of 64,East,1,Wake Forest,79,16,North Carolina A&T,47,,32
3/16/95,Round of 64,Midwest,1,Kansas,82,16,Colgate,68,,14
3/16/95,Round of 64,Southeast,1,Kentucky,113,16,"Mt. St. Mary's, Maryland",67,,46
3/17/95,Round of 64,West,1,UCLA,92,16,Florida International,56,,36
3/14/96,Round of 64,East,1,Massachusetts,92,16,Central Florida,70,,22
3/14/96,Round of 64,Midwest,1,Kentucky,110,16,San Jose State,72,,38
3/14/96,Round of 64,Southeast,1,Connecticut,68,16,Colgate,59,,9
3/14/96,Round of 64,West,1,Purdue,73,16,Western Carolina,71,,2
3/13/97,Round of 64,East,1,North Carolina,82,16,Fairfield,74,,8
3/13/97,Round of 64,Southeast,1,Kansas,78,16,Jackson State,64,,14
3/13/97,Round of 64,West,1,Kentucky,92,16,Montana,54,,38
3/14/97,Round of 64,Midwest,1,Minnesota,78,16,Texas State,46,,32
3/12/98,Round of 64,East,1,North Carolina,88,16,Navy,52,,36
3/12/98,Round of 64,West,1,Arizona,99,16,Nicholls State,60,,39
3/13/98,Round of 64,Midwest,1,Kansas,110,16,Prairie View,52,,58
3/13/98,Round of 64,South,1,Duke,99,16,Radford,63,,36
3/11/99,Round of 64,South,1,Auburn,80,16,Winthrop,41,,39
